category,url
"Books:Teen & Young Adult:Art, Music & Photography:Performing Arts:Film",https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A10367653011%2Cn%3A10367666011%2Cn%3A10367669011&bbn=10367666011&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=10367666011
Books:Sports & Outdoors:Baseball,https://www.amazon.com/s/ref=sr_nr_n_13?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A16315&bbn=26&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=26
Books:Teen & Young Adult:Hobbies & Games:Cooking,https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A10367802011%2Cn%3A3351979011&bbn=10367802011&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10367802011
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Legal",https://www.amazon.com/s/ref=sr_nr_n_2?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A10487&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
"Books:Mystery, Thriller & Suspense:Thrillers & Suspense:Psychological Thrillers",https://www.amazon.com/s/ref=sr_nr_n_1?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A18%2Cn%3A10484%2Cn%3A10491&bbn=10484&keywords=textbooks&ie=UTF8&qid=1535004110&rnid=10484
Books:Romance:Fantasy,https://www.amazon.com/s/ref=sr_nr_n_13?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A23%2Cn%3A7654406011&bbn=23&keywords=textbooks&ie=UTF8&qid=1535004106&rnid=23
Books:Sports & Outdoors:Biographies:Football,https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A2446%2Cn%3A2449&bbn=2446&keywords=textbooks&ie=UTF8&qid=1535004108&rnid=2446
Books:Teen & Young Adult:Education & Reference:Reference:Dictionaries,https://www.amazon.com/s/ref=sr_nr_n_0?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A3344092011%2Cn%3A17460%2Cn%3A10367728011&bbn=17460&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=17460
Books:Computers & Technology:Networking & Cloud Computing:Home Networks,https://www.amazon.com/s/ref=sr_nr_n_8?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A3652%2Cn%3A377893011&bbn=3652&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=3652
Books:Computers & Technology:Internet & Social Media:Podcasts & Webcasts,https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A69766%2Cn%3A11006481011&bbn=69766&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=69766
Books:Computers & Technology:Computer Science:Cybernetics,https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A3508%2Cn%3A107196011&bbn=3508&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=3508
"Books:Computers & Technology:Mobile Phones, Tablets & E-Readers:Tablets",https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A377557011%2Cn%3A10806611011&bbn=377557011&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=377557011
Books:Sports & Outdoors:Outdoor Recreation:Fishing,https://www.amazon.com/s/ref=sr_nr_n_8?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A26%2Cn%3A290108%2Cn%3A16480&bbn=290108&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=290108
"Books:Computers & Technology:Mobile Phones, Tablets & E-Readers:iPhone",https://www.amazon.com/s/ref=sr_nr_n_5?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A377557011%2Cn%3A6133978011&bbn=377557011&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=377557011
Books:Teen & Young Adult:Religion & Spirituality:Christianity:Biblical Studies,https://www.amazon.com/s/ref=sr_nr_n_2?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A28%2Cn%3A171119%2Cn%3A280287%2Cn%3A10368611011&bbn=280287&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=280287
"Books:Health, Fitness & Dieting:Children's Health:Eating Disorders",https://www.amazon.com/s/ref=sr_nr_n_3?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A10%2Cn%3A282948%2Cn%3A282956&bbn=282948&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=282948
Books:Computers & Technology:Networking & Cloud Computing:Intranets & Extranets,https://www.amazon.com/s/ref=sr_nr_n_7?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A5%2Cn%3A3652%2Cn%3A3711&bbn=3652&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=3652
Books:Literature & Fiction:History & Criticism:Women Authors,https://www.amazon.com/s/ref=sr_nr_n_6?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A17%2Cn%3A10204%2Cn%3A10159380011&bbn=10204&keywords=textbooks&ie=UTF8&qid=1535004109&rnid=10204
"Books:Health, Fitness & Dieting:Children's Health:Special Needs Children",https://www.amazon.com/s/ref=sr_nr_n_4?srs=9187220011&fst=as%3Aoff&rh=n%3A283155%2Ck%3Atextbooks%2Cn%3A%211000%2Cn%3A10%2Cn%3A282948%2Cn%3A282964&bbn=282948&keywords=textbooks&ie=UTF8&qid=1535004111&rnid=282948
